Symbols	EntrezID	EnsemblID	Ensembl_version_id	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gid	Symbol	Tag
SMG1P7	100506060	ENSG00000261556	ENSG00000261556.10	14	7	280	464	442	27,0107473718294	0,352142315592181	0,591057438845636	0,595783577785489	0,551319815877017	0,714767422610306	ENSG00000261556.10	SMG1P7	NC
GAN	8139	ENSG00000261609	ENSG00000261609.7	20	16	122	173	84	39,8640272915117	2,95712888735262	0,434332889983483	6,80843877023698	9,86635634051668e-12	1,24184384431164e-10	ENSG00000261609.7	GAN	Up
AC007728.2	NA	ENSG00000261644	ENSG00000261644.2	0	31	346	450	391	39,717083869246	1,00357460384277	1,42503399940528	0,704246077119283	0,481279540706893	0,643802349954377	ENSG00000261644.2	AC007728.2	NC
LINC00662	148189	ENSG00000261824	ENSG00000261824.7	15	16	827	622	941	52,2889162119658	0,0420514379706904	0,389636950609111	0,107924666551651	0,914055450322835	0,952837321002779	ENSG00000261824.7	LINC00662	NC
AC007336.1	NA	ENSG00000261997	ENSG00000261997.1	12	12	98	139	134	23,8990459838042	2,31665317344129	0,435637432637727	5,31784690634655	1,05002358094365e-07	8,04756040753173e-07	ENSG00000261997.1	AC007336.1	Up
LINC02185	NA	ENSG00000262097	ENSG00000262097.2	71	100	2947	2752	2318	241,471600586958	0,78636366140384	0,238871383733341	3,2919960905894	0,000994789945634345	0,00345158073777391	ENSG00000262097.2	LINC02185	NC
LINC02175	283887	ENSG00000262155	ENSG00000262155.2	21	2	47	50	40	27,8636174054161	3,95114949405893	1,00059921418924	3,94878332705914	7,85494085241285e-05	0,000353645064806642	ENSG00000262155.2	LINC02175	Up
AC108134.3	NA	ENSG00000262370	ENSG00000262370.6	22	12	1190	1190	889	66,3630740450197	-0,231100147009184	0,321393396386365	-0,719056924030155	0,472105846905471	0,633857825179479	ENSG00000262370.6	AC108134.3	NC
AC087741.1	NA	ENSG00000262580	ENSG00000262580.5	7	14	910	1199	1082	51,9062458999594	-0,888221897255351	0,433126296872346	-2,05072262679339	0,0402939661831914	0,0834125840160085	ENSG00000262580.5	AC087741.1	NC
MTCO1P40	107075172	ENSG00000262902	ENSG00000262902.1	15	6	26	13	11	26,244034736638	5,34258585174633	0,959435676915134	5,56846694394804	2,56990369429713e-08	2,14304847245926e-07	ENSG00000262902.1	MTCO1P40	Up
CCNQ	92002	ENSG00000262919	ENSG00000262919.8	12	12	1244	1050	1060	53,0881545926849	-0,81123265594244	0,338011514033887	-2,40001485825454	0,0163944063737949	0,0401969603357486	ENSG00000262919.8	CCNQ	NC
