	Case1	Case2	Case3	Case4	Case5	NegCtrl1	NegCtrl2	NegCtrl3	NegCtrl4	NegCtrl5
AGT	8.5526873173026	3.92828224098766	2.10544437865518	4.6841253276186	5.64794453184309	4.26324776214823	0	3.33717362093826	11.3534008570424	9.66502923739151
AGTPBP1	43.9704062281732	27.862692359397	30.0246733323579	13.0442315764459	43.5551551587041	35.4338987518303	15.7821103838524	79.1119833567043	32.5894785645803	28.9853033132705
AGTR1	2.11388839423124	0.796649915845303	1.28094315849177	2.84980137816014	3.29301040439596	6.74372739742228	5.84652672844316	13.5354789762418	0.690735946334151	1.17603230973665
AGTR2	0	0	0	0	0.173990371380445	0	0	0.822438781959626	1.67881175496169	4.28746370363112
AGTRAP	50.6320845382942	24.2748662652755	21.6940443141363	10.1761901367977	24.7446462381071	21.4874690494016	4.17540450955345	22.2332054461086	38.4775380832267	6.71908069530035
AGXT	0.137468752760485	0	0	0	0	0	0	0	0.583952265763291	0
AGXT2	0	0	0	2.50799827764194	0	0	0	0	0	0
AHCTF1	47.0797679346167	31.6585478226359	21.8823817570229	13.9411048248336	38.1849224804806	58.084996244927	21.5389910685046	75.7793619854398	79.5954073337526	25.9954847644415
AHCY	25.1257153703641	30.1219866228698	23.372301843441	40.7256669470609	21.6115343730228	50.5029541270116	9.57354988772378	21.7610458610334	38.2505229901672	16.8063292173152
AHCYL1	76.2673363999314	67.3197395221951	52.0785803874751	21.6539624877161	76.5484374970217	85.6415774087249	52.5014616682878	115.470404987131	96.3814664374848	64.9889235076717
AHCYL2	18.6371387345581	14.4099387373465	42.8751735411882	13.7299923207625	24.1065714551992	14.7325111351273	15.8135277235542	18.5340141257358	44.4885115064848	27.4352664290096
AHCYP2	0	0	0	3.81215738201575	0	0	0	1.81063061074496	0	0
AHCYP3	0	0	0	0	0	0	0	0	0	0
AHCYP4	0	0	0	0	0	0	0	0	0	0
AHCYP5	0	0	0	0	0	0	0	0	0	0
AHCYP7	0	0	0	0	0	0	0	0	0	0
AHCYP8	0	0	0	0	0	0	0	0	0	0
AHDC1	20.244340762977	12.0220492543279	15.0347557607042	20.3082266222847	15.964502568273	46.5349139362905	3.26772246378616	28.3695286726341	24.9011266043287	9.85956459747881
AHI1	15.8071988810861	15.0849733087192	13.3233411474688	4.56020666815779	19.5885060350431	23.8651647214435	8.18607888950294	21.6592573634088	17.9612002976491	9.8798076648891
AHNAK	613.687333771637	429.243481642064	404.897989608419	518.59518973163	514.409048910498	1010.45200606001	171.488806655214	981.262078909584	512.90915988551	342.079077759886
AHNAK2	15.5323593575699	24.5790611676776	10.8061633365504	5.27549988995154	13.4111126305494	25.6399362856761	1.26268131902169	9.02038669181011	23.7834048100454	3.48327900639905
AHR	77.3402857025406	83.7430686596396	95.8107388601958	46.1663575638475	90.487657179144	93.2244298128817	64.8256919238789	104.373825170381	86.5346031786799	71.1257796866193
AHRR	0.0962632253372995	0.47161675018042	0.216662385664893	0	0.678073794574751	2.14969279499369	0	1.20195053309027	0.408915680229818	6.962111273641
AHSA1	747.274349881898	96.3111142486593	61.6124459914497	42.0839384903234	84.4029419166187	99.2803822610269	35.6861876589269	89.5474921618432	158.308983200385	52.7952222092511
